Value,x2,Timestamp,x4,x1,x3
423.84178289277423,8.00822295094786,50.0,6,-0.04323983207579207,-1
268.99509285527625,8.238136003572448,49.0,10,-1.2320980231419503,-1
175.72913560965046,5.490158277586622,48.0,5,-0.10778530812506126,2
863.7008050007593,3.104629134771081,47.0,6,-1.6729641549686995,0
437.33025616706703,5.090469928987642,46.0,6,5.500000929483061,3
11057.586002547028,10.193726318455788,45.0,14,4.122343138369789,9
991.3945272608603,7.651771248669745,44.0,11,-0.45505494486321485,-5
12.446172690814569,7.317567745385172,43.0,2,-0.3949332412316364,3
1318.3730590920022,5.1434490320525805,42.0,11,3.7960891481712213,8
461.6866798545822,8.035389369185157,41.0,5,7.1025832824077835,3
306.93518504899214,5.009275417259906,40.0,2,9.535812877190525,-1
852.407695037751,6.499306295186471,39.0,4,4.6970170960741555,0
1382.4563316166073,7.067435910456689,38.0,11,1.1595994159159018,2
58.939486262523744,1.9341626133121772,37.0,2,-2.789621660678817,3
1807.084320597147,8.34946803487709,36.0,9,4.2366223903887015,1
3118.3977952114556,4.532557612811807,35.0,13,4.774627857328113,5
4363.0919508005845,9.47260943691825,34.0,10,2.137523428429671,6
4366.980925713944,8.59025801645153,33.0,8,6.495018769908516,5
344.2040008705266,3.992894709912765,32.0,6,0.786644560288063,-2
2647.6528632545346,9.961369387666931,31.0,9,5.331635929057185,0
11897.667809589999,2.4708817148933053,30.0,12,-3.717644152162043,3
10.344908234907292,2.4053580706427624,29.0,5,3.251637439444126,8
240.5446127176703,5.756575537456325,28.0,0,6.335417858838657,9
7546.917988052534,10.45323001929641,27.0,3,1.9139027626225795,-4
3075.654229124599,4.676592715907918,26.0,5,4.55854327371628,-5
3969.26728721947,5.870975869959443,25.0,13,5.609781284982253,2
3914.717100472475,0.0,24.0,0,0.16977224567124427,-1
904.058192633458,4.248072739355121,23.0,8,-1.1959484039897523,3
4386.099423926698,9.149651479062134,22.0,13,1.0838809620679255,9
6109.926264475895,0.4148303571863622,21.0,5,0.7007918209575017,-5
1101.4543905564783,7.067435910456689,20.0,10,0.6729121895852677,2
2202.417096024829,2.0945325224462485,19.0,2,0.08948457228997242,-2
2187.4359153121973,2.830215820082193,18.0,5,-2.969321575946792,5
354.5883949012265,10.097676398933835,17.0,2,7.3045679353027655,4
307.09507281224376,3.6225502602626225,16.0,5,4.6970170960741555,0
603.9173577987615,8.234613100373299,15.0,5,10.0,0
140.78793034038728,0.8140709491901525,14.0,2,9.624527273894877,0
68.62283015634699,1.3260111903615706,13.0,6,3.987805502486001,-1
479.5955055749641,2.0644909129814297,12.0,5,4.161085497158801,-4
709.4521236650575,6.427418769621104,11.0,2,0.13935304153648165,0
413.95275570322315,4.513108376378034,10.0,11,3.179034911351332,3
170.40144047066104,0.23612905966402803,9.0,9,9.18919649210054,1
294.8167885290377,3.3917304197543565,8.0,11,9.012552009335339,5
26179.8389960243,4.650672136764284,7.0,1,-4.643219133544471,-4
1214.115023770588,4.310742793788394,6.0,8,-4.4589784887316455,-2
3516.2075457419514,5.666756294296462,5.0,14,0.3925208430336573,6
119.75136161418773,0.38646507683958614,4.0,8,4.299031884484766,-3
2230.8998341370316,5.282446114698737,3.0,5,3.74184848299193,-5
108.66668177447552,6.426520105446904,2.0,13,-0.42965728447408225,-4
60.077827886681916,6.588908675456528,1.0,14,-1.9149858334168042,-4
8560.841239423513,14.571828407220554,0.0,3,3.945792557864367,-2
26985.9185622819,14.317154944945303,0.0,13,4.813636231163494,5
1513.4377980154754,5.077512882482777,0.0,0,7.513163866715853,0
589.4514477120929,3.844108572884502,0.0,0,-3.644268219527508,3
291.72137901191735,6.426520105446904,0.0,11,-0.42965728447408225,-4
5623.1881584905705,9.379033193202678,0.0,13,8.808829004964132,2
347.0003784315174,4.312130443150609,0.0,14,4.416812431159871,-5
1940.3066045130713,8.853380664748185,0.0,8,0.9020249445104067,5
12849.525623764399,11.622496252855539,0.0,6,3.489428062304322,-5
3091.5949302837107,0.0,0.0,0,0.0,0
