x1,x2,f1_value,f2_value,Valid,Timestamp
-2.5377678880917607,12.598873757483787,157.12520984824283,-157.3737834348719,True,0.0
-4.1395092568291325,11.124004525578087,142.1890415486162,-139.75105094538776,True,3.0
-2.6069461508310674,12.580930207255179,157.34189730197266,-157.5804598227951,True,4.0
-3.994749715716317,9.601113961208174,111.91618552777103,-109.93190881513704,True,6.0
-4.175186011555386,8.825808785161232,101.37620541921603,-98.81995724590519,True,8.0
-1.8054564971305318,9.805265698644781,94.01420317528336,-93.78181249790516,True,9.0
-4.527952440898957,12.771165955634899,183.17451102573673,-179.3119199231887,True,11.0
-2.3481294173604574,12.660040557343365,156.86277522900755,-157.0897105551363,True,12.0
-2.100150678842379,8.898919014154458,81.20415718138246,-81.29427770175225,True,13.0
-5.15855945359087,11.612702018352046,165.8744175809288,-159.05647921265142,True,14.0
-2.6670562304699494,5.950165310796333,48.28555046257973,-48.5076426784409,True,15.0
-4.846855792857243,4.001172285407122,57.88646933487859,-52.62873722241099,True,17.0
-3.373881746134117,11.317304276427684,137.32537255382644,-136.81170324760004,True,18.0
-2.182645963127353,9.803266861570993,96.99203468889954,-97.14132110418018,True,21.0
-2.73221801074866,12.52346866229145,157.1842173120671,-157.380292107551,True,22.0
-4.256868278784779,7.836355011744782,87.8841505046712,-85.04756435567101,True,25.0
-2.136028323002016,12.790391894142807,158.12007130614327,-158.23759592448656,True,26.0
-3.301087187557144,3.916793661589651,38.609210634372076,-38.21746995230386,True,28.0
-3.555155332902988,12.757812950011392,171.1059161401361,-170.24256336358246,True,29.0
-4.823039558866334,3.9654154614528068,57.34755768087826,-52.20104488882037,True,30.0
-4.911349298454471,6.600093918929009,81.12780102607277,-75.5631955869159,True,33.0
-2.6646014902036192,8.17535336152432,75.24420292514817,-75.46710927457092,True,35.0
-2.62796450138206,8.077986756606037,73.51595195274295,-73.749577039129,True,36.0
-2.314422537123246,3.5178840759644494,26.953982048832334,-27.16954305410456,True,39.0
-2.098721261626327,7.581394061526886,62.11426377360907,-62.2032391477383,True,41.0
-5.878695268538397,12.731345123965305,201.69829755207385,-190.5327158344301,True,45.0
-4.517195555831137,4.9785217189341004,60.30247298097547,-56.48339507051058,True,47.0
-4.028030178400305,4.947984537074937,53.923729736687626,-51.83885351058556,True,48.0
-6.910077046622309,12.38732626742894,211.06067249762282,-191.8618929404779,True,49.0
