x2,Timestamp,Value,Energy,x1
4,5.0,3.092484911317573,7.0,3
3,5.0,15.710204851480391,8.0,5
5,5.0,48.62023496052493,2.0,-3
4,5.0,15.47709507916227,5.0,1
4,5.0,112.57425653401958,0.0,-4
4,5.0,6.44814794919374,6.0,2
5,5.0,161.25549717966388,0.0,-5
5,5.0,28.092578071442034,3.0,-2
2,5.0,13.25393599948989,7.0,5
3,5.0,214.004936712441,-2.0,-5
2,4.0,21.62763539206238,3.0,1
2,4.0,243.3796564788296,-3.0,-5
4,4.0,29.031904654560485,3.0,-1
3,4.0,6.115426298669772,5.0,2
0,4.0,14.341398295508888,5.0,5
3,4.0,5.411679394887225,7.0,4
4,4.0,38.4922518682697,2.0,-2
3,4.0,80.36947046073567,0.0,-3
3,4.0,134.4405562739786,-1.0,-4
2,4.0,158.3068560139376,-2.0,-4
4,3.0,63.494852710630305,1.0,-3
2,3.0,99.24408821084104,-1.0,-3
3,3.0,37.473372534686355,2.0,-1
3,3.0,17.552365235612324,4.0,1
3,3.0,28.602112642270264,3.0,0
1,3.0,12.79766714749939,6.0,5
3,3.0,0.8685094903955033,6.0,3
3,3.0,50.891925665097354,1.0,-2
1,3.0,184.1731557538966,-3.0,-4
1,3.0,274.7543762452181,-4.0,-5
2,2.0,7.7827046481458035,4.0,2
2,2.0,3.8131882401429777,6.0,4
1,2.0,4.214697085398731,5.0,4
2,2.0,65.29159946192502,0.0,-2
1,2.0,44.602112642270264,1.0,0
0,2.0,212.0394554938556,-4.0,-4
1,2.0,120.11870596094641,-2.0,-3
0,2.0,308.12909601160663,-5.0,-5
1,2.0,81.69127325875269,-1.0,-2
1,2.0,27.702905548512433,2.0,1
2,1.0,47.914840414812225,1.0,-1
2,1.0,35.602112642270264,2.0,0
0,1.0,74.79777617506396,-1.0,-1
0,1.0,17.117261347097866,2.0,2
0,1.0,100.09094705558034,-2.0,-2
0,1.0,6.616205930654484,4.0,4
1,1.0,60.356308294938096,0.0,-1
1,1.0,11.449982997621836,3.0,2
1,1.0,2.4205586485513635,4.0,3
0,1.0,35.778175704962486,1.0,1
0,0.0,55.602112642270264,0.0,0
6,0.0,16.150821795937148,15.0,9
2,0.0,0.6445340694734334,5.0,3
11,0.0,98.18129675684932,19.0,8
0,0.0,142.9933237110518,-3.0,-3
11,0.0,117.20301933454601,17.0,6
5,0.0,92.70795679406056,1.0,-4
8,0.0,66.81109379656351,14.0,6
0,0.0,6.196583227629295,3.0,3
9,0.0,35.100744296912005,10.0,1
