x1,x2,Value,Timestamp
0.0711680251749421,0.918860499459033,4.02779694878494,6950
0.08374201043118659,0.08391745617300503,10.42748160722958,6950
0.13139443915285315,0.5365545892167386,7.692592659010549,6950
0.4509563903201488,0.7069863095345909,6.117712074031937,6965
0.36392434241928656,1.0,5.035876129222752,15253
4.062834327761441e-06,1.0,1.1805742753340724,23483
3.05653254848465e-07,1.0,1.1804205284412628,30936
1.0265688688718155e-05,1.0,1.1808281011384816,38248
1.2548908632819513e-06,1.0,1.1804593720139331,46522
1.778651187016753e-05,1.0,1.1811358592545058,54803
0.3398424549396122,0.362590602351231,9.737453904476649,54820
0.0024892400780651457,1.0,1.282252625178526,63329
0.0006171945147863797,1.0,1.2056637700336026,71662
1.3516466735036529e-05,1.0,1.180961125588085,79518
5.50726757179193e-05,1.0,1.1826616383188775,86852
6.715085215939413e-07,1.0,1.1804354995355162,94167
2.746991426485545e-06,1.0,1.180520429977757,101582
9.88987177950969e-05,1.0,1.1844550326094196,108838
6.517528293725511e-07,1.0,1.1804346911165693,116122
0.014024969093860385,1.0,1.7515590044049345,123734
1.134778693051246e-06,1.0,1.1804544569265605,131117
0.003972875152055387,1.0,1.3429146725521282,138537
2.5976861786358505e-05,1.0,1.181471014894109,145806
